customer_code,customer_name,customer_name_ar,salesman_code,salesman_name,type,group_name,category,area,phone,credit_days,credit_limit,notes,is_active
CA1238,AL FAYSAL SWEETS,,JL,JALIL,,,,,,30,0.000,,true
CA1239,SAEF AL KUWAIT,,JL,JALIL,,,,,,30,0.000,,true
CA1240,AL RAYAN COMPANY,,JL,JALIL,,,,,,30,0.000,,true
CA1241,HMOUD & KAYSAR,,JL,JALIL,,,,,,30,0.000,,true
CA1242,ALWATIN INTERNATIONAL COMPANY,,JL,JALIL,,,,,,30,0.000,,true
CA1243,ABOU ASAAD AL RABIH,,JL,JALIL,,,,,,30,0.000,,true
CA1246,BUSHIDO KUWAIT,,JP,MOHAMAD AHMAD NASSER,,,,,,30,0.000,,true
CA1249,CULINARY KITCHEN - MANGAFE,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA1250,CITY LIFE,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA1251,PRESS CAFE,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1253,ALTISIMO KUWAIT,,BK,BILAL KHATIB,,,,,,30,0.000,,true
CA1254,INTERNATIONAL BAKERY,,AK,ABDUL KADER,,,,,,30,0.000,,true
CA1255,BAIX BAKERY,,JP,MOHAMAD AHMAD NASSER,,,,,,30,0.000,,true
CA1256,MOWASAT HOSPTIAL SALMIYA,,BK,BILAL KHATIB,,,,,,30,0.000,,true
CA1257,AREA DOWNTOWN,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA1258,ARD AL RAHMA,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA126,JUICE WORLS SURRA,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA1261,CAVE MAN,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1262,KUAN VALDEZ,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1263,SAFFRON,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1265,BREAD TALK,,MH,MAHMOUD SHAWQI HUSSEIN,,,,,,30,0.000,,true
CA1268,SILVER CUISINE,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1270,SHIMNEY ROLL,,BS,BASHAR SAHMARANI,,,,,,30,0.000,,true
CA1272,SLIDER CITY,,MZ,MUSAFIR KARIYIL,,,,,,30,0.000,,true
CA1273,ROSE GARDEN,,BK,BILAL KHATIB,,,,,,30,0.000,,true
CA1274,VIM CATERING,,BK,BILAL KHATIB,,,,,,30,0.000,,true
CA1275,GOALS CAFE - KUWAIT CITY,,AS,AHMED SOBHI,,,,,,30,0.000,,true
CA1276,LETO CAFE,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA1278,FISH PALACE,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA1279,CHOCO BOUTIQUE,,MH,MAHMOUD SHAWQI HUSSEIN,,,,,,30,0.000,,true
CA1283,MARINE - COMPANY - SALMIYA,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1284,CAN CHOCOLATE,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1287,NEQSA - ARDIYA,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1288,STAR BURGER,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1290,MINERWA CAFE - SHUWAIKH,,AN,AHMAD AL NADEY,,,,,,30,0.000,,true
CA1292,VALVE CAFE,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1293,TEXAS - ARDIYA,,SK,SAJJAD KANDI,,,,,,30,0.000,,true
CA1294,YAMAMA - SHUWAIKH,,MG,CHARLS PUTHEN VEETTIL CHACKO,,,,,,30,0.000,,true
CA1299,DARK NIGHT - SALMIYA,,KM,KARIM MAHER MAHMOUD YOUSSEF,,,,,,30,0.000,,true
CA1301,VINKING BURGER RESTAURANT,,BK,BILAL KHATIB,,,,,,30,0.000,,true
CA1302,PJS COFFEE,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1303,AUBE -RESTAURANT,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1304,THE TINNY TABLE,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1305,FARIS CAFE,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1306,ITALIAN EXPRESS,,BK,BILAL KHATIB,,,,,,30,0.000,,true
CA1307,GALAXY BURGER,,BK,BILAL KHATIB,,,,,,30,0.000,,true
CA1308,LINE,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1309,COFFEE ROOM,,KD,KHALID GHANEM,,,,,,30,0.000,,true
CA131,FREE TIME SALMIYA,,JP,MOHAMAD AHMAD NASSER,,,,,,30,0.000,,true
CA1311,FUSE CAFE,,AA,RANEEM W M ALTUTEY,,,,,,30,0.000,,true
CA1312,PLUS 1 COMPANY - JAHRA,,AA,RANEEM W M ALTUTEY,,,,,,30,0.000,,true
CA1313,LAMAC CAFE- AIRPORT,,SA,RANA AHMED SADIK BASHIR,,,,,,30,0.000,,true
CA1314,BLUE PLANET,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1316,DFRNT CAFE,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1317,LA HOJA CIGCIR LOUNGE,,MZ,MUSAFIR KARIYIL,,,,,,30,0.000,,true
CA1321,IBIZA CAFE,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1322,DOSE CAFE,,MG,CHARLS PUTHEN VEETTIL CHACKO,,,,,,30,0.000,,true
CA1324,STORY GIRLS,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1325,NAMLET JUICE,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA1326,CANEPHORA CAFE,,MZ,MUSAFIR KARIYIL,,,,,,30,0.000,,true
CA1327,YATAI JAPANESE REST,,KM,KARIM MAHER MAHMOUD YOUSSEF,,,,,,30,0.000,,true
CA1330,BOOKS STATION CAFE - ARDIYA,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1331,THE SPLIT CO.,,AA,RANEEM W M ALTUTEY,,,,,,30,0.000,,true
CA1333,MAP CAFE,,MA,MOHAMMED ABDEL ALIM,,,,,,30,0.000,,true
CA1340,HIW THAI RESTAURANT,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1342,THE GATHERING BRISTO,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1343,GPR CAFE,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1344,SPIRO CAFE- KHIRAN,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1346,HERMONY - EGAILA,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1348,COFFEE SHOP COMPANY,,BK,BILAL KHATIB,,,,,,30,0.000,,true
CA1349,OAK AND SMOKE,,AK,ABDUL KADER,,,,,,30,0.000,,true
CA135,Q CAFE REST,,MH,MAHMOUD SHAWQI HUSSEIN,,,,,,30,0.000,,true
CA1350,SIDAR RESTAURANT,,MA,MOHAMMED ABDEL ALIM,,,,,,30,0.000,,true
CA1351,PETTE FOUR AND MORE,,BS,BASHAR SAHMARANI,,,,,,30,0.000,,true
CA1352,RIPOSA CAFE-SALMIYA,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1353,PAUSE CAFE - MAZAYA,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1354,ARTIST CAFE,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA1355,SEA TASTE RESTAURANT,,BK,BILAL KHATIB,,,,,,30,0.000,,true
CA1356,PHILL FULL- EGAILA,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1359,B + C CAKE - QURAIN,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA136,RENBOW DUCK,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA1361,FRAME (MESSILLA),,BK,BILAL KHATIB,,,,,,30,0.000,,true
CA1363,RED CARPET - ABU HASSANIA,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1366,DEMI CONCEPT,,AA,RANEEM W M ALTUTEY,,,,,,30,0.000,,true
CA1368,PJS COFFE,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1369,SLIDER PLUS - JAHRA,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA1370,ABYAT CAFE - SHUWAIKH,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA1372,CRACKING CAFE - QURRAIN,,MS,MOTASEM MAHMOUD ALI HADDAD,,,,,,30,0.000,,true
CA1373,MEXICANA FOOD,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA1376,RAUDAN CAFE - MAIDAN HAWALLY,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA1377,CHINA LAKE - SALMIYA,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA1383,SCALE REST - QURRAIN,,JP,MOHAMAD AHMAD NASSER,,,,,,30,0.000,,true
CA1384,CHEF SAMI AL-SHRERIDA,,IM,AHMAD MOHAMMED MOSAAD,,,,,,30,0.000,,true
CA1386,MR. CHICKEN REST - SALMIYA,,SV,SHAIJU VAZHAPPILLY,,,,,,30,0.000,,true
CA1387,MR. CHAN'S RESTAURANT,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1388,RAJDHANI PALACE,,BK,BILAL KHATIB,,,,,,30,0.000,,true
CA139,MOGO KHAITAN,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1390,BAN ALAMID,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1391,TREMTA,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1392,HAPPY JUICE,,KM,KARIM MAHER MAHMOUD YOUSSEF,,,,,,30,0.000,,true
CA1393,CRUSH JUICE,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1394,SPACE CAFE,,MW,MOHAMMAD OTHMAN,,,,,,30,0.000,,true
CA1395,HEALTH STOP,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1397,BENTO,,MN,MANU VARGHESE,,,,,,30,0.000,,true
CA1398,TASHI RESTAURANT,,RA,ROBY ELIAS,,,,,,30,0.000,,true
CA1399,CAFE 34,,AZ,ABDUL KHALEK ZOOBI,,,,,,30,0.000,,true
CA14,COBA CAFE,,MA,MOHAMMED ABDEL ALIM,,,,,,30,0.000,,true
CA1400,OPERA CAFE,,BS,BASHAR SAHMARANI,,,,,,30,0.000,,true
